qDate,qTime,lng,lat,qType,qCityname,Weather,light,RoadtYPE,Location,AccidentType,Ranking
20230915,205400,120.32,23.2,一般地址,臺南市官田區隆田里勝利路段巷弄178號口,晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20230930,95900,120.37,23.24,其他,臺南市六甲區段巷弄號口甲東里曾文街151巷內,晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20231007,53900,120.22,22.98,交叉路口,臺南市東區東門路2段巷弄號裕農路口,晴,1,三岔路,交叉口附近,對撞,6
20231025,73224,120.22,22.98,一般地址,臺南市東區林森路1段153巷弄7號口,晴,0,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20231009,111000,120.22,23.04,交叉路口,臺南市安南區安和路1段96巷弄號郡安路口,晴,1,三岔路,交叉路口內,對撞,6
20231024,92700,120.17,23.05,一般地址,臺南市安南區本淵一街段巷弄70號口,晴,0,直路,一般車道(未劃分快慢車道),對撞,6
20231031,180200,120.18,22.99,其他,臺南市安平區段巷弄號口建平八街與建平八街322巷口附近,晴,1,直路,一般車道(未劃分快慢車道),對撞,6
20231023,152508,120.2,22.98,交叉路口,臺南市南區西門路1段巷弄號新興路口,晴,1,四岔路,交叉路口內,對撞,6
20231025,151000,120.22,23.13,其他,臺南市西港區段巷弄號口檨林里中周寮9號旁未命名道路,晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20231027,215500,120.23,23.09,一般地址,臺南市安定區海寮里3海寮段巷弄45586號口,晴,1,三岔路,交叉路口內,對撞,6
20231019,80400,120.33,22.95,其他,臺南市關廟區段巷弄號口旺萊路101巷18號旁,晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20231013,123300,120.22,23.02,一般地址,臺南市永康區中正南路段210巷弄3號口,晴,0,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20231017,105500,120.3,23.02,其他,臺南市新化區段巷弄號口竹子腳236-8號旁路口,晴,0,三岔路,交叉路口內,對撞,6
20231013,180600,120.28,23.29,一般地址,臺南市新營區太南里太子宮段巷弄238號口,晴,1,直路,一般車道(未劃分快慢車道),對撞,6
